target1	target2	function_similarity
O00408	O00519	0
O00408	O14672	0.02041
O00408	O14684	0
O00408	O14746	0
O00408	O14757	0.0303
O00408	O14920	0
O00408	O14939	0
O00408	O14965	0
O00408	O15379	0
O00408	O15530	0
O00408	O43353	0
O00408	O43570	0
O00408	O43613	0
O00408	O43614	0
O00408	O60218	0
O00408	O60341	0.01961
O00408	O60674	0.01316
O00408	O60725	0
O00408	O75116	0
O00408	O75173	0
O00408	O75469	0
O00408	O75908	0
O00408	O76074	0.11111
O00408	O94925	0
O00408	O95399	0
O00408	O95822	0
O00408	O96017	0.02703
O00408	P00374	0
O00408	P00519	0
O00408	P00533	0.03488
O00408	P00734	0
O00408	P00740	0
O00408	P00742	NA
O00408	P00747	0
O00408	P00748	0
O00408	P00749	0
O00408	P00750	0
O00408	P00797	0.02778
O00408	P00915	0
O00408	P00918	0
O00408	P01375	0.00909
O00408	P03372	0
O00408	P03951	0
O00408	P03952	0
O00408	P03956	0
O00408	P04035	0
O00408	P04054	0
O00408	P04150	0.0303
O00408	P04626	0
O00408	P04818	0
O00408	P05067	0.01042
O00408	P05129	0.02564
O00408	P05186	0
O00408	P05412	0
O00408	P06213	0
O00408	P06239	0
O00408	P06401	0
O00408	P06493	0
O00408	P07099	0
O00408	P07339	0
O00408	P07384	0
O00408	P07477	0
O00408	P07550	0
O00408	P07711	0
O00408	P07858	0
O00408	P07900	0
O00408	P07949	0
O00408	P08069	0
O00408	P08172	0
O00408	P08183	0
O00408	P08238	0.01587
O00408	P08246	0
O00408	P08253	0
O00408	P08254	0
O00408	P08311	0
O00408	P08473	0
O00408	P08514	0
O00408	P08581	0
O00408	P08588	0
O00408	P08684	0
O00408	P08709	0
O00408	P08842	0
O00408	P08908	0
O00408	P08912	0
O00408	P08913	0.02174
O00408	P09237	0.03448
O00408	P09467	0.03125
O00408	P09619	0
O00408	P09871	NA
O00408	P09874	0
O00408	P09917	0
O00408	P09958	0
O00408	P0DMS8	0
O00408	P10275	0
O00408	P10415	0
