uniprot_id	entrez_id	class	subclass
O00206	7099	Catalytic receptor	OCR
O00220	8797	Catalytic receptor	OCR
O00300	4982	Catalytic receptor	OCR
O00451	2675	Catalytic receptor	OCR
O14763	8795	Catalytic receptor	OCR
O14798	8794	Catalytic receptor	OCR
O14836	23495	Catalytic receptor	OCR
O15455	7098	Catalytic receptor	OCR
O60602	7100	Catalytic receptor	OCR
O60603	7097	Catalytic receptor	OCR
O60609	2676	Catalytic receptor	OCR
O75509	27242	Catalytic receptor	OCR
O75578	8515	Catalytic receptor	OCR
O95407	8771	Catalytic receptor	OCR
O95786	23586	Catalytic receptor	OCR
P01589	3559	Catalytic receptor	OCR
P05106	3690	Catalytic receptor	OCR
P05107	3689	Catalytic receptor	OCR
P05556	3688	Catalytic receptor	OCR
P06756	3685	Catalytic receptor	OCR
P08138	4804	Catalytic receptor	OCR
P08514	3674	Catalytic receptor	OCR
P08648	3678	Catalytic receptor	OCR
P08887	3570	Catalytic receptor	OCR
P10912	2690	Catalytic receptor	OCR
P11215	3684	Catalytic receptor	OCR
P13612	3676	Catalytic receptor	OCR
P14778	3554	Catalytic receptor	OCR
P14784	3560	Catalytic receptor	OCR
P15260	3459	Catalytic receptor	OCR
P15509	1438	Catalytic receptor	OCR
P16066	4881	Catalytic receptor	OCR
P16144	3691	Catalytic receptor	OCR
P16471	5618	Catalytic receptor	OCR
P16871	3575	Catalytic receptor	OCR
P17181	3454	Catalytic receptor	OCR
P17301	3673	Catalytic receptor	OCR
P17342	4883	Catalytic receptor	OCR
P18084	3693	Catalytic receptor	OCR
P18564	3694	Catalytic receptor	OCR
P19235	2057	Catalytic receptor	OCR
P19438	7132	Catalytic receptor	OCR
P20333	7133	Catalytic receptor	OCR
P20594	4882	Catalytic receptor	OCR
P20701	3683	Catalytic receptor	OCR
P20702	3687	Catalytic receptor	OCR
P23229	3655	Catalytic receptor	OCR
P24394	3566	Catalytic receptor	OCR
P25092	2984	Catalytic receptor	OCR
P25445	355	Catalytic receptor	OCR
P25942	958	Catalytic receptor	OCR
P26006	3675	Catalytic receptor	OCR
P26010	3695	Catalytic receptor	OCR
P26012	3696	Catalytic receptor	OCR
P26951	3563	Catalytic receptor	OCR
P26992	1271	Catalytic receptor	OCR
P27930	7850	Catalytic receptor	OCR
P28908	943	Catalytic receptor	OCR
P31785	3561	Catalytic receptor	OCR
P32927	1439	Catalytic receptor	OCR
P33076	4261	Catalytic receptor	OCR
P33402	2977	Catalytic receptor	OCR
P36941	4055	Catalytic receptor	OCR
P38484	3460	Catalytic receptor	OCR
P38570	3682	Catalytic receptor	OCR
P40189	3572	Catalytic receptor	OCR
P40238	4352	Catalytic receptor	OCR
P42701	3594	Catalytic receptor	OCR
P42702	3977	Catalytic receptor	OCR
P43489	7293	Catalytic receptor	OCR
P48357	3953	Catalytic receptor	OCR
P48551	3455	Catalytic receptor	OCR
P51841	2986	Catalytic receptor	OCR
P53708	8516	Catalytic receptor	OCR
P56159	2674	Catalytic receptor	OCR
P56199	3672	Catalytic receptor	OCR
P59044	171389	Catalytic receptor	OCR
P59045	204801	Catalytic receptor	OCR
P59046	91662	Catalytic receptor	OCR
P59047	126206	Catalytic receptor	OCR
P78552	3597	Catalytic receptor	OCR
Q01113	3581	Catalytic receptor	OCR
Q01344	3568	Catalytic receptor	OCR
Q01638	9173	Catalytic receptor	OCR
Q02108	2982	Catalytic receptor	OCR
Q02153	2983	Catalytic receptor	OCR
Q02223	608	Catalytic receptor	OCR
Q02846	3000	Catalytic receptor	OCR
Q03167	7049	Catalytic receptor	OCR
Q07011	3604	Catalytic receptor	OCR
Q08334	3588	Catalytic receptor	OCR
Q13261	3601	Catalytic receptor	OCR
Q13349	3681	Catalytic receptor	OCR
Q13478	8809	Catalytic receptor	OCR
Q13651	3587	Catalytic receptor	OCR
Q13683	3679	Catalytic receptor	OCR
Q13797	3680	Catalytic receptor	OCR
Q14626	3590	Catalytic receptor	OCR
Q14627	3598	Catalytic receptor	OCR
Q15399	7096	Catalytic receptor	OCR
Q5VWK5	149233	Catalytic receptor	OCR
Q6IA17	59307	Catalytic receptor	OCR
Q6UWB1	9466	Catalytic receptor	OCR
Q6UXL0	53833	Catalytic receptor	OCR
Q6UXV0	389400	Catalytic receptor	OCR
Q7RTR0	338321	Catalytic receptor	OCR
Q7RTR2	197358	Catalytic receptor	OCR
Q86UT6	79671	Catalytic receptor	OCR
Q86W24	338323	Catalytic receptor	OCR
Q86W25	126204	Catalytic receptor	OCR
Q86W26	338322	Catalytic receptor	OCR
Q86W28	126205	Catalytic receptor	OCR
Q86WI3	84166	Catalytic receptor	OCR
Q8IU57	163702	Catalytic receptor	OCR
