group	disease_term
lung	lung diseases
lung	lung neoplasms
lung	carcinoma, non-small-cell lung
lung	adenocarcinoma of lung
lung	lung injury
lung	acute lung injury
lung	small cell lung carcinoma
lung	lung diseases, obstructive
lung	autoimmune interstitial lung, joint, and kidney disease
lung	lung diseases, interstitial
lung	lung agenesis
lung	rajab interstitial lung disease with brain calcifications 1
lung	interstitial lung disease, nephrotic syndrome, and epidermolysis bullosa, congenital
lung	carcinoma, lewis lung
lung	interstitial lung and liver disease
lung	lung disease, immunodeficiency, and chromosome breakage syndrome
lung	paraquat lung
lung	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs
lung	hypertension, pulmonary
lung	pulmonary fibrosis
lung	surfactant metabolism dysfunction, pulmonary, 3
lung	pulmonary edema
lung	pulmonary emphysema
lung	plasma cell granuloma, pulmonary
lung	tuberculosis, pulmonary
lung	idiopathic pulmonary fibrosis
lung	familial primary pulmonary hypertension
lung	pulmonary arterial hypertension
lung	pulmonary veno-occlusive disease
lung	pulmonary embolism
lung	pulmonary disease, chronic obstructive
lung	pulmonary hypertension, neonatal, susceptibility to
lung	pulmonary alveolar proteinosis
lung	surfactant metabolism dysfunction, pulmonary, 4
lung	surfactant metabolism dysfunction, pulmonary, 5
lung	pleuropulmonary blastoma
lung	pulmonary edema of mountaineers
lung	bronchopulmonary dysplasia
lung	cutis laxa with severe pulmonary, gastrointestinal, and urinary abnormalities
lung	pulmonary eosinophilia
lung	pulmonary fibrosis and/or bone marrow failure, telomere-related, 4
lung	pulmonary fibrosis and/or bone marrow failure, telomere-related, 3
lung	hyperuricemia, pulmonary hypertension, renal failure, and alkalosis syndrome
lung	surfactant metabolism dysfunction, pulmonary, 1
lung	surfactant metabolism dysfunction, pulmonary, 2
lung	pulmonary alveolar microlithiasis
lung	anophthalmia with pulmonary hypoplasia
lung	pulmonary fibrosis and/or bone marrow failure, telomere-related, 2
lung	pulmonary fibrosis and/or bone marrow failure, telomere-related, 1
lung	respiratory insufficiency
lung	respiratory distress syndrome, adult
lung	respiratory tract diseases
lung	severe acute respiratory syndrome
lung	respiratory hypersensitivity
lung	respiratory syncytial virus infections
lung	respiratory tract infections
lung	respiratory sounds
lung	spinal muscular atrophy with respiratory distress 1
