target_symbol	disease_group	disease_term	connection_evidence
WNT4	lung	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs	marker/mechanism
WNT4	kidney	46,xx sex reversal with dysgenesis of kidneys, adrenals, and lungs	marker/mechanism
SLC4A1	kidney	acidosis, renal tubular	marker/mechanism
SLC4A4	kidney	acidosis, renal tubular	marker/mechanism
ITPR3	skin	acrodermatitis	marker/mechanism
SLC39A4	skin	acrodermatitis	marker/mechanism
PSMB9	skin	acrodermatitis	marker/mechanism
SLC39A4	skin	acrodermatitis enteropathica	marker/mechanism
CAPZB	heart	acute coronary syndrome	marker/mechanism
TUBB1	heart	acute coronary syndrome	marker/mechanism
GAPDH	heart	acute coronary syndrome	marker/mechanism
RAB7B	heart	acute coronary syndrome	marker/mechanism
HSPD1	heart	acute coronary syndrome	marker/mechanism
CKB	heart	acute coronary syndrome	marker/mechanism
VCL	heart	acute coronary syndrome	marker/mechanism
SOD2	heart	acute coronary syndrome	marker/mechanism
GSTP1	heart	acute coronary syndrome	marker/mechanism
TNNI3	heart	acute coronary syndrome	marker/mechanism
ITGB3	heart	acute coronary syndrome	marker/mechanism
TUBA1C	heart	acute coronary syndrome	marker/mechanism
TLR4	heart	acute coronary syndrome	marker/mechanism
HSPA8	heart	acute coronary syndrome	marker/mechanism
VIM	heart	acute coronary syndrome	marker/mechanism
TPM4	heart	acute coronary syndrome	marker/mechanism
ARHGDIB	heart	acute coronary syndrome	marker/mechanism
ENO1	heart	acute coronary syndrome	marker/mechanism
PSMB1	heart	acute coronary syndrome	marker/mechanism
LDHB	heart	acute coronary syndrome	marker/mechanism
PON1	heart	acute coronary syndrome	marker/mechanism
SERPINC1	heart	acute coronary syndrome	therapeutic
PAPPA	heart	acute coronary syndrome	marker/mechanism
GSN	heart	acute coronary syndrome	marker/mechanism
CKM	heart	acute coronary syndrome	marker/mechanism
ACTG1	heart	acute coronary syndrome	marker/mechanism
CRP	heart	acute coronary syndrome	marker/mechanism
TNF	heart	acute coronary syndrome	marker/mechanism
TNNT2	heart	acute coronary syndrome	marker/mechanism
PDIA3	heart	acute coronary syndrome	marker/mechanism
MMP9	heart	acute coronary syndrome	marker/mechanism
IL6	heart	acute coronary syndrome	marker/mechanism
FASN	heart	acute coronary syndrome	marker/mechanism
EPO	kidney	acute kidney injury	therapeutic
HP	kidney	acute kidney injury	marker/mechanism
TTR	kidney	acute kidney injury	marker/mechanism
MIR122	kidney	acute kidney injury	marker/mechanism
IL20	kidney	acute kidney injury	marker/mechanism
CYP2C9	kidney	acute kidney injury	marker/mechanism
MIR148A	kidney	acute kidney injury	marker/mechanism
MIR140	kidney	acute kidney injury	marker/mechanism
HEXB	kidney	acute kidney injury	marker/mechanism
SIRT1	kidney	acute kidney injury	marker/mechanism
UGT1A1	kidney	acute kidney injury	marker/mechanism
LRP2	kidney	acute kidney injury	marker/mechanism
CST3	kidney	acute kidney injury	marker/mechanism
ORM1	kidney	acute kidney injury	marker/mechanism
IGG-2A	kidney	acute kidney injury	marker/mechanism
TLR2	kidney	acute kidney injury	marker/mechanism
CYP3A23-3A1	kidney	acute kidney injury	marker/mechanism
CLU	kidney	acute kidney injury	marker/mechanism
NOS3	kidney	acute kidney injury	marker/mechanism
KLK1	kidney	acute kidney injury	therapeutic
MIR151	kidney	acute kidney injury	marker/mechanism
MIR3473	kidney	acute kidney injury	marker/mechanism
IGFBP1	kidney	acute kidney injury	therapeutic
SOD1	kidney	acute kidney injury	marker/mechanism
MIR26A	kidney	acute kidney injury	marker/mechanism
SLC22A12	kidney	acute kidney injury	marker/mechanism
GFER	kidney	acute kidney injury	therapeutic
ATP5F1B	kidney	acute kidney injury	marker/mechanism
UGT1A9	kidney	acute kidney injury	marker/mechanism
GSK3B	kidney	acute kidney injury	marker/mechanism
HBG2	kidney	acute kidney injury	marker/mechanism
CCT7	kidney	acute kidney injury	marker/mechanism
AHSG	kidney	acute kidney injury	marker/mechanism
MIR25	kidney	acute kidney injury	marker/mechanism
MIR146B	kidney	acute kidney injury	marker/mechanism
MUG1	kidney	acute kidney injury	marker/mechanism
RUP2	kidney	acute kidney injury	marker/mechanism
INS	kidney	acute kidney injury	marker/mechanism
MIR152	kidney	acute kidney injury	marker/mechanism
HAVCR1	kidney	acute kidney injury	marker/mechanism
CP	kidney	acute kidney injury	marker/mechanism
TGFB1	kidney	acute kidney injury	marker/mechanism
VEGFA	kidney	acute kidney injury	marker/mechanism|therapeutic
POMC	kidney	acute kidney injury	therapeutic
AVP	kidney	acute kidney injury	marker/mechanism
SPP1	kidney	acute kidney injury	marker/mechanism
C3	kidney	acute kidney injury	marker/mechanism
AMN	kidney	acute kidney injury	therapeutic
HBEGF	kidney	acute kidney injury	marker/mechanism
KNG1	kidney	acute kidney injury	therapeutic
SERPINA1	kidney	acute kidney injury	marker/mechanism
MIRLET7I	kidney	acute kidney injury	marker/mechanism
CYP2C19	kidney	acute kidney injury	marker/mechanism
GAS6	kidney	acute kidney injury	marker/mechanism
MIR10A	kidney	acute kidney injury	marker/mechanism
GSTA1	kidney	acute kidney injury	marker/mechanism
