adverse_event	select_target_uniprot	select_target_symbol
anaemia	O14684	PTGES
anaemia	O14920	IKBKB
anaemia	O15379	HDAC3
anaemia	O43613	HCRTR1
anaemia	O94925	GLS
anaemia	O95822	MLYCD
anaemia	P00374	DHFR
anaemia	P00740	F9
anaemia	P00797	REN
anaemia	P04035	HMGCR
anaemia	P05186	ALPL
anaemia	P05412	JUN
anaemia	P06213	INSR
anaemia	P06239	LCK
anaemia	P07099	EPHX1
anaemia	P07550	ADRB2
anaemia	P07900	HSP90AA1
anaemia	P08581	MET
anaemia	P09874	PARP1
anaemia	P10275	AR
anaemia	P14867	GABRA1
anaemia	P14902	IDO1
anaemia	P15121	AKR1B1
anaemia	P15538	CYP11B1
anaemia	P23280	CA6
anaemia	P23458	JAK1
anaemia	P24941	CDK2
anaemia	P25090	FPR2
anaemia	P27487	DPP4
anaemia	P29274	ADORA2A
anaemia	P29275	ADORA2B
anaemia	P30556	AGTR1
anaemia	P31644	GABRA5
anaemia	P31749	AKT1
anaemia	P32297	CHRNA3
anaemia	P35346	SSTR5
anaemia	P37288	AVPR1A
anaemia	P39748	FEN1
anaemia	P41145	OPRK1
anaemia	P42574	CASP3
anaemia	P43116	PTGER2
anaemia	P43405	SYK
anaemia	P47869	GABRA2
anaemia	P48147	PREP
anaemia	P48736	PIK3CG
anaemia	P49137	MAPKAPK2
anaemia	P51946	CCNH
anaemia	P62942	FKBP1A
anaemia	P68400	CSNK2A1
anaemia	P80365	HSD11B2
anaemia	Q02763	TEK
anaemia	Q08499	PDE4D
anaemia	Q12908	SLC10A2
anaemia	Q14289	PTK2B
anaemia	Q15059	BRD3
anaemia	Q16445	GABRA6
anaemia	Q6V1X1	DPP8
anaemia	Q86X55	CARM1
anaemia	Q969S8	HDAC10
anaemia	Q96RI1	NR1H4
anaemia	Q9BY41	HDAC8
anaemia	Q9GZT9	EGLN1
anaemia	Q9NTG7	SIRT3
anaemia	Q9ULX7	CA14
disseminated_intravascular_coagulation	O14746	TERT
disseminated_intravascular_coagulation	O43353	RIPK2
disseminated_intravascular_coagulation	O43613	HCRTR1
disseminated_intravascular_coagulation	P00374	DHFR
disseminated_intravascular_coagulation	P04150	NR3C1
disseminated_intravascular_coagulation	P07858	CTSB
disseminated_intravascular_coagulation	P08709	F7
disseminated_intravascular_coagulation	P14902	IDO1
disseminated_intravascular_coagulation	P14920	DAO
disseminated_intravascular_coagulation	P15056	BRAF
disseminated_intravascular_coagulation	P17252	PRKCA
disseminated_intravascular_coagulation	P21731	TBXA2R
disseminated_intravascular_coagulation	P22460	KCNA5
disseminated_intravascular_coagulation	P25774	CTSS
disseminated_intravascular_coagulation	P34998	CRHR1
disseminated_intravascular_coagulation	P35218	CA5A
disseminated_intravascular_coagulation	P43116	PTGER2
disseminated_intravascular_coagulation	P50281	MMP14
disseminated_intravascular_coagulation	P55263	ADK
disseminated_intravascular_coagulation	Q8TCT1	PHOSPHO1
disseminated_intravascular_coagulation	Q9Y243	AKT3
disseminated_intravascular_coagulation	Q9Y2D0	CA5B
disseminated_intravascular_coagulation	Q9Y5N1	HRH3
jaundice	O00519	FAAH
jaundice	O14920	IKBKB
jaundice	O14939	PLD2
jaundice	O75173	ADAMTS4
jaundice	O95399	UTS2
jaundice	O95822	MLYCD
jaundice	P00915	CA1
jaundice	P03951	F11
jaundice	P03956	MMP1
jaundice	P05067	APP
jaundice	P05412	JUN
jaundice	P06213	INSR
jaundice	P06401	PGR
jaundice	P07099	EPHX1
jaundice	P07477	PRSS1
jaundice	P08581	MET
jaundice	P09874	PARP1
jaundice	P10827	THRA
jaundice	P11086	PNMT
jaundice	P11309	PIM1
jaundice	P12821	ACE
jaundice	P14324	FDPS
jaundice	P14416	DRD2
jaundice	P15538	CYP11B1
jaundice	P16455	MGMT
jaundice	P21452	TACR2
jaundice	P22748	CA4
jaundice	P23458	JAK1
jaundice	P25090	FPR2
jaundice	P25103	TACR1
jaundice	P27338	MAOB
jaundice	P29371	TACR3
jaundice	P31391	SSTR4
jaundice	P31644	GABRA5
jaundice	P32745	SSTR3
jaundice	P35218	CA5A
jaundice	P35372	OPRM1
jaundice	P35610	SOAT1
jaundice	P36888	FLT3
jaundice	P39748	FEN1
jaundice	P47869	GABRA2
jaundice	P47989	XDH
jaundice	P55212	CASP6
jaundice	P61073	CXCR4
jaundice	P62937	PPIA
jaundice	P78536	ADAM17
jaundice	Q02127	DHODH
jaundice	Q02763	TEK
jaundice	Q05586	GRIN1
jaundice	Q13133	NR1H3
jaundice	Q14289	PTK2B
jaundice	Q14790	CASP8
jaundice	Q16665	HIF1A
jaundice	Q16769	QPCT
jaundice	Q6V1X1	DPP8
jaundice	Q86TI2	DPP9
jaundice	Q969S8	HDAC10
jaundice	Q9BUB5	MKNK1
jaundice	Q9H244	P2RY12
jaundice	Q9NTG7	SIRT3
jaundice	Q9ULX7	CA14
jaundice	Q9Y239	NOD1
jaundice	Q9Y243	AKT3
jaundice	Q9Y5N1	HRH3
febrile_neutropenia	O14920	IKBKB
febrile_neutropenia	O43353	RIPK2
febrile_neutropenia	O43613	HCRTR1
febrile_neutropenia	P03956	MMP1
febrile_neutropenia	P05186	ALPL
febrile_neutropenia	P07099	EPHX1
febrile_neutropenia	P08172	CHRM2
febrile_neutropenia	P11086	PNMT
febrile_neutropenia	P12931	SRC
febrile_neutropenia	P13631	RARG
febrile_neutropenia	P14416	DRD2
febrile_neutropenia	P17612	PRKACA
febrile_neutropenia	P20309	CHRM3
febrile_neutropenia	P20839	IMPDH1
febrile_neutropenia	P23280	CA6
febrile_neutropenia	P23458	JAK1
febrile_neutropenia	P24941	CDK2
febrile_neutropenia	P29466	CASP1
febrile_neutropenia	P30305	CDC25B
febrile_neutropenia	P31391	SSTR4
febrile_neutropenia	P37231	PPARG
febrile_neutropenia	P42892	ECE1
febrile_neutropenia	P43116	PTGER2
febrile_neutropenia	P43405	SYK
febrile_neutropenia	P49137	MAPKAPK2
febrile_neutropenia	P50579	METAP2
febrile_neutropenia	Q16581	C3AR1
febrile_neutropenia	Q6V1X1	DPP8
febrile_neutropenia	Q86TI2	DPP9
febrile_neutropenia	Q96GD4	AURKB
febrile_neutropenia	Q99720	SIGMAR1
febrile_neutropenia	Q9ULX7	CA14
febrile_neutropenia	Q9UM73	ALK
arrhythmia	O94925	GLS
arrhythmia	P00374	DHFR
arrhythmia	P06213	INSR
arrhythmia	P07339	CTSD
arrhythmia	P08311	CTSG
arrhythmia	P08709	F7
arrhythmia	P08912	CHRM5
arrhythmia	P10275	AR
arrhythmia	P10721	KIT
arrhythmia	P10826	RARB
arrhythmia	P14920	DAO
arrhythmia	P17612	PRKACA
arrhythmia	P23458	JAK1
arrhythmia	P27338	MAOB
arrhythmia	P42338	PIK3CB
arrhythmia	P48147	PREP
arrhythmia	P49286	MTNR1B
arrhythmia	P55210	CASP7
arrhythmia	P62937	PPIA
arrhythmia	Q05586	GRIN1
arrhythmia	Q07343	PDE4B
arrhythmia	Q13002	GRIK2
arrhythmia	Q15059	BRD3
arrhythmia	Q86X55	CARM1
arrhythmia	Q9BUB5	MKNK1
arrhythmia	Q9UBN7	HDAC6
arrhythmia	Q9ULX7	CA14
arrhythmia	Q9Y2D0	CA5B
bradycardia	O15379	HDAC3
bradycardia	P07858	CTSB
bradycardia	P08588	ADRB1
bradycardia	P08913	ADRA2A
bradycardia	P13497	BMP1
bradycardia	P14780	MMP9
bradycardia	P17252	PRKCA
bradycardia	P34913	EPHX2
bradycardia	P37058	HSD17B3
bradycardia	P41145	OPRK1
bradycardia	P48147	PREP
bradycardia	P49768	PSEN1
bradycardia	P50281	MMP14
bradycardia	P56524	HDAC4
bradycardia	Q13002	GRIK2
bradycardia	Q13946	PDE7A
bradycardia	Q86X55	CARM1
bradycardia	Q8TDS4	HCAR2
bradycardia	Q96EB6	SIRT1
bradycardia	Q9Y233	PDE10A
bradycardia	Q9Y2D0	CA5B
tachycardia	P00533	EGFR
tachycardia	P00748	F12
tachycardia	P06493	CDK1
tachycardia	P07949	RET
tachycardia	P08912	CHRM5
tachycardia	P16109	SELP
tachycardia	P21728	DRD1
tachycardia	P22460	KCNA5
tachycardia	P23975	SLC6A2
tachycardia	P27815	PDE4A
tachycardia	P28845	HSD11B1
tachycardia	P35348	ADRA1A
tachycardia	P35367	HRH1
tachycardia	P35968	KDR
tachycardia	P43490	NAMPT
tachycardia	P62942	FKBP1A
tachycardia	Q02750	MAP2K1
tachycardia	Q13002	GRIK2
tachycardia	Q13946	PDE7A
tachycardia	Q8TCT1	PHOSPHO1
tachycardia	Q9NYA1	SPHK1
tachycardia	Q9Y233	PDE10A
atrial_fibrillation	O95822	MLYCD
atrial_fibrillation	P00374	DHFR
atrial_fibrillation	P04035	HMGCR
atrial_fibrillation	P05412	JUN
atrial_fibrillation	P06213	INSR
atrial_fibrillation	P07900	HSP90AA1
atrial_fibrillation	P14324	FDPS
atrial_fibrillation	P15056	BRAF
atrial_fibrillation	P16455	MGMT
atrial_fibrillation	P17612	PRKACA
atrial_fibrillation	P22303	ACHE
atrial_fibrillation	P23458	JAK1
atrial_fibrillation	P27338	MAOB
atrial_fibrillation	P35498	SCN1A
atrial_fibrillation	P37268	FDFT1
atrial_fibrillation	P48147	PREP
atrial_fibrillation	P49286	MTNR1B
atrial_fibrillation	P51681	CCR5
atrial_fibrillation	Q04759	PRKCQ
atrial_fibrillation	Q13002	GRIK2
atrial_fibrillation	Q16769	QPCT
atrial_fibrillation	Q6V1X1	DPP8
atrial_fibrillation	Q86TI2	DPP9
atrial_fibrillation	Q86X55	CARM1
atrial_fibrillation	Q92731	ESR2
atrial_fibrillation	Q96EB6	SIRT1
atrial_fibrillation	Q9BUB5	MKNK1
cardiac_arrest	P04150	NR3C1
cardiac_arrest	P19793	RXRA
cardiac_arrest	P48147	PREP
cardiac_arrest	Q01959	SLC6A3
cardiac_arrest	Q92731	ESR2
cardiac_arrest	Q9H3N8	HRH4
cardio-respiratory_arrest	O14757	CHEK1
cardio-respiratory_arrest	O43570	CA12
cardio-respiratory_arrest	O94925	GLS
cardio-respiratory_arrest	P00533	EGFR
cardio-respiratory_arrest	P05412	JUN
cardio-respiratory_arrest	P07949	RET
cardio-respiratory_arrest	P08581	MET
cardio-respiratory_arrest	P08908	HTR1A
cardio-respiratory_arrest	P10721	KIT
cardio-respiratory_arrest	P13945	ADRB3
cardio-respiratory_arrest	P14867	GABRA1
cardio-respiratory_arrest	P16109	SELP
cardio-respiratory_arrest	P18405	SRD5A1
cardio-respiratory_arrest	P22460	KCNA5
cardio-respiratory_arrest	P23975	SLC6A2
cardio-respiratory_arrest	P24557	TBXAS1
cardio-respiratory_arrest	P25100	ADRA1D
cardio-respiratory_arrest	P27815	PDE4A
cardio-respiratory_arrest	P32246	CCR1
cardio-respiratory_arrest	P35348	ADRA1A
cardio-respiratory_arrest	P35367	HRH1
cardio-respiratory_arrest	P40238	MPL
cardio-respiratory_arrest	P41143	OPRD1
cardio-respiratory_arrest	P42338	PIK3CB
cardio-respiratory_arrest	P43088	PTGFR
cardio-respiratory_arrest	P43405	SYK
cardio-respiratory_arrest	P50579	METAP2
cardio-respiratory_arrest	P51677	CCR3
cardio-respiratory_arrest	Q01959	SLC6A3
cardio-respiratory_arrest	Q07343	PDE4B
cardio-respiratory_arrest	Q13946	PDE7A
cardio-respiratory_arrest	Q14416	GRM2
cardio-respiratory_arrest	Q15858	SCN9A
cardio-respiratory_arrest	Q16769	QPCT
cardio-respiratory_arrest	Q92847	GHSR
cardio-respiratory_arrest	Q9H3N8	HRH4
cardio-respiratory_arrest	Q9HAZ1	CLK4
