adverse_event	disease_group	select_target_uniprot	select_target_symbol	select_target_disease
pseudomembranous_colitis	colon	P00533	EGFR	colonic neoplasms
pseudomembranous_colitis	colon	P00740	F9	NA
pseudomembranous_colitis	colon	P08253	MMP2	NA
pseudomembranous_colitis	colon	P08254	MMP3	NA
pseudomembranous_colitis	colon	P14324	FDPS	NA
pseudomembranous_colitis	colon	P20648	ATP4A	NA
pseudomembranous_colitis	colon	P25090	FPR2	NA
pseudomembranous_colitis	colon	P35346	SSTR5	NA
pseudomembranous_colitis	colon	P36544	CHRNA7	NA
pseudomembranous_colitis	colon	P42574	CASP3	colitis, ulcerative
pseudomembranous_colitis	colon	P42892	ECE1	NA
pseudomembranous_colitis	colon	P43116	PTGER2	NA
pseudomembranous_colitis	colon	Q04759	PRKCQ	NA
pseudomembranous_colitis	colon	Q14432	PDE3A	NA
pseudomembranous_colitis	colon	Q8TCT1	PHOSPHO1	NA
arrhythmia	heart	O14746	TERT	coronary artery disease
arrhythmia	heart	P00374	DHFR	NA
arrhythmia	heart	P00533	EGFR	cardiomyopathy, dilated
arrhythmia	heart	P07949	RET	NA
arrhythmia	heart	P14867	GABRA1	NA
arrhythmia	heart	P14920	DAO	NA
arrhythmia	heart	P19634	SLC9A1	cardiomyopathy, hypertrophic;heart failure;ventricular remodeling
arrhythmia	heart	P23458	JAK1	NA
arrhythmia	heart	P25116	F2R	NA
arrhythmia	heart	P29274	ADORA2A	cardiomyopathies;ventricular dysfunction
arrhythmia	heart	P30556	AGTR1	heart failure
arrhythmia	heart	P31644	GABRA5	NA
arrhythmia	heart	P35348	ADRA1A	ventricular remodeling
arrhythmia	heart	P37058	HSD17B3	NA
arrhythmia	heart	P39900	MMP12	NA
arrhythmia	heart	P42892	ECE1	heart defects, congenital;hirschsprung disease, cardiac defects, and autonomic dysfunction
arrhythmia	heart	P43681	CHRNA4	NA
arrhythmia	heart	P47712	PLA2G4A	NA
arrhythmia	heart	P48147	PREP	NA
arrhythmia	heart	P49286	MTNR1B	NA
arrhythmia	heart	P55210	CASP7	myocardial reperfusion injury
arrhythmia	heart	Q13002	GRIK2	NA
arrhythmia	heart	Q16602	CALCRL	NA
arrhythmia	heart	Q16769	QPCT	NA
arrhythmia	heart	Q99500	S1PR3	NA
arrhythmia	heart	Q9UBN7	HDAC6	NA
cardiac_arrest	heart	O43570	CA12	NA
cardiac_arrest	heart	O94925	GLS	NA
cardiac_arrest	heart	P00748	F12	NA
cardiac_arrest	heart	P00749	PLAU	coronary disease;heart rupture, post-infarction;myocardial infarction;ventricular fibrillation
cardiac_arrest	heart	P04035	HMGCR	NA
cardiac_arrest	heart	P04150	NR3C1	atrial fibrillation
cardiac_arrest	heart	P07384	CAPN1	NA
cardiac_arrest	heart	P07477	PRSS1	NA
cardiac_arrest	heart	P08246	ELANE	NA
cardiac_arrest	heart	P09467	FBP1	NA
cardiac_arrest	heart	P14920	DAO	NA
cardiac_arrest	heart	P24530	EDNRB	heart failure
cardiac_arrest	heart	P25100	ADRA1D	heart failure, diastolic
cardiac_arrest	heart	P29274	ADORA2A	cardiomyopathies;ventricular dysfunction
cardiac_arrest	heart	P32245	MC4R	NA
cardiac_arrest	heart	P35348	ADRA1A	ventricular remodeling
cardiac_arrest	heart	P37058	HSD17B3	NA
cardiac_arrest	heart	P37268	FDFT1	NA
cardiac_arrest	heart	P42785	PRCP	NA
cardiac_arrest	heart	P43681	CHRNA4	NA
cardiac_arrest	heart	P48147	PREP	NA
cardiac_arrest	heart	P48736	PIK3CG	cardiomegaly;heart failure
cardiac_arrest	heart	P50406	HTR6	NA
cardiac_arrest	heart	P55072	VCP	NA
cardiac_arrest	heart	P62942	FKBP1A	NA
cardiac_arrest	heart	Q04759	PRKCQ	NA
cardiac_arrest	heart	Q13002	GRIK2	NA
cardiac_arrest	heart	Q9Y5N1	HRH3	NA
cardiac_arrest	heart	Q9Y5Y4	PTGDR2	NA
nephropathy	kidney	P00519	ABL1	NA
nephropathy	kidney	P00742	F10	NA
nephropathy	kidney	P00749	PLAU	NA
nephropathy	kidney	P03956	MMP1	NA
nephropathy	kidney	P04150	NR3C1	NA
nephropathy	kidney	P05067	APP	NA
nephropathy	kidney	P06401	PGR	NA
nephropathy	kidney	P07550	ADRB2	NA
nephropathy	kidney	P07900	HSP90AA1	NA
nephropathy	kidney	P08473	MME	renal insufficiency
nephropathy	kidney	P11229	CHRM1	NA
nephropathy	kidney	P11309	PIM1	NA
nephropathy	kidney	P18031	PTPN1	NA
nephropathy	kidney	P21452	TACR2	NA
nephropathy	kidney	P25101	EDNRA	NA
nephropathy	kidney	P32745	SSTR3	NA
nephropathy	kidney	P42892	ECE1	NA
nephropathy	kidney	P43119	PTGIR	NA
nephropathy	kidney	P43166	CA7	NA
nephropathy	kidney	P48736	PIK3CG	NA
nephropathy	kidney	P49286	MTNR1B	NA
nephropathy	kidney	P49768	PSEN1	NA
nephropathy	kidney	P51946	CCNH	NA
nephropathy	kidney	P53350	PLK1	NA
nephropathy	kidney	P62937	PPIA	NA
nephropathy	kidney	Q04759	PRKCQ	NA
nephropathy	kidney	Q13547	HDAC1	NA
nephropathy	kidney	Q7Z601	GPR142	NA
nephropathy	kidney	Q86X55	CARM1	NA
nephropathy	kidney	Q92731	ESR2	NA
nephropathy	kidney	Q9GZT9	EGLN1	NA
nephropathy	kidney	Q9ULX7	CA14	NA
nephropathy	kidney	Q9UM73	ALK	carcinoma, renal cell
nephropathy	kidney	Q9Y6L6	SLCO1B1	NA
renal_injury	kidney	O14757	CHEK1	NA
renal_injury	kidney	P00374	DHFR	NA
renal_injury	kidney	P04035	HMGCR	kidney failure, chronic
renal_injury	kidney	P04150	NR3C1	NA
renal_injury	kidney	P04626	ERBB2	carcinoma, renal cell
renal_injury	kidney	P12821	ACE	diabetic nephropathies;kidney diseases;kidney failure, chronic;renal insufficiency;renal tubular dysgenesis
renal_injury	kidney	P15056	BRAF	kidney neoplasms
renal_injury	kidney	P19634	SLC9A1	NA
renal_injury	kidney	P25101	EDNRA	NA
renal_injury	kidney	P25116	F2R	NA
renal_injury	kidney	P35367	HRH1	NA
renal_injury	kidney	P35498	SCN1A	NA
renal_injury	kidney	P42892	ECE1	NA
renal_injury	kidney	P43490	NAMPT	NA
renal_injury	kidney	P43681	CHRNA4	NA
renal_injury	kidney	P45452	MMP13	NA
renal_injury	kidney	P47989	XDH	NA
renal_injury	kidney	P48147	PREP	NA
renal_injury	kidney	P48736	PIK3CG	NA
renal_injury	kidney	P49286	MTNR1B	NA
renal_injury	kidney	P78536	ADAM17	NA
renal_injury	kidney	Q00975	CACNA1B	NA
renal_injury	kidney	Q04759	PRKCQ	NA
renal_injury	kidney	Q13547	HDAC1	NA
renal_injury	kidney	Q13946	PDE7A	NA
renal_injury	kidney	Q15722	LTB4R	NA
renal_injury	kidney	Q8TEK3	DOT1L	NA
renal_injury	kidney	Q92731	ESR2	NA
renal_injury	kidney	Q9UBN7	HDAC6	NA
renal_injury	kidney	Q9Y5N1	HRH3	NA
renal_tubular_disorder	kidney	O60674	JAK2	NA
renal_tubular_disorder	kidney	O60911	CTSV	NA
renal_tubular_disorder	kidney	O95822	MLYCD	NA
renal_tubular_disorder	kidney	P07384	CAPN1	NA
renal_tubular_disorder	kidney	P08172	CHRM2	NA
renal_tubular_disorder	kidney	P08473	MME	renal insufficiency
renal_tubular_disorder	kidney	P25024	CXCR1	NA
renal_tubular_disorder	kidney	P25090	FPR2	NA
renal_tubular_disorder	kidney	P25103	TACR1	NA
renal_tubular_disorder	kidney	P27487	DPP4	NA
renal_tubular_disorder	kidney	P28482	MAPK1	kidney neoplasms
renal_tubular_disorder	kidney	P31645	SLC6A4	NA
renal_tubular_disorder	kidney	P35498	SCN1A	NA
renal_tubular_disorder	kidney	P42892	ECE1	NA
renal_tubular_disorder	kidney	P43004	SLC1A2	NA
renal_tubular_disorder	kidney	P43116	PTGER2	NA
renal_tubular_disorder	kidney	P53667	LIMK1	NA
renal_tubular_disorder	kidney	Q07869	PPARA	kidney diseases;kidney failure, chronic;kidney tubular necrosis, acute
renal_tubular_disorder	kidney	Q14432	PDE3A	NA
renal_tubular_disorder	kidney	Q6V1X1	DPP8	NA
renal_tubular_disorder	kidney	Q9NYA1	SPHK1	NA
renal_tubular_disorder	kidney	Q9UM73	ALK	carcinoma, renal cell
respiratory_acidosis	lung	O14746	TERT	carcinoma, non-small-cell lung;idiopathic pulmonary fibrosis;lung neoplasms;pulmonary fibrosis and/or bone marrow failure, telomere-related, 1
respiratory_acidosis	lung	O94925	GLS	NA
respiratory_acidosis	lung	O95136	S1PR2	NA
respiratory_acidosis	lung	P00748	F12	NA
respiratory_acidosis	lung	P00749	PLAU	idiopathic pulmonary fibrosis;pulmonary embolism
respiratory_acidosis	lung	P06493	CDK1	NA
respiratory_acidosis	lung	P07339	CTSD	NA
respiratory_acidosis	lung	P07384	CAPN1	NA
respiratory_acidosis	lung	P08246	ELANE	NA
respiratory_acidosis	lung	P08912	CHRM5	NA
respiratory_acidosis	lung	P11473	VDR	NA
respiratory_acidosis	lung	P13612	ITGA4	NA
respiratory_acidosis	lung	P14920	DAO	NA
respiratory_acidosis	lung	P16109	SELP	NA
respiratory_acidosis	lung	P17252	PRKCA	NA
