adverse_event	pathway	size	p_value	adjusted_p_value
pulmonary alveolar haemorrhage	positive regulation of flagellated sperm motility	12	2.35675816663462e-05	0.0442614315560234
pulmonary alveolar haemorrhage	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	66	2.97355939241004e-05	0.0442614315560234
atrial fibrillation	regulation of cholesterol biosynthetic process	35	1.92460179192159e-05	0.043028813043705
atrial fibrillation	cholesterol biosynthetic process	63	2.89074995254988e-05	0.043028813043705
ventricular dysfunction	protein processing	79	8.049719532496e-06	0.0100728970803782
ventricular dysfunction	amyloid-beta formation	11	1.01507192613821e-05	0.0100728970803782
ventricular dysfunction	Notch receptor processing, ligand-dependent	13	1.01507192613821e-05	0.0100728970803782
ventricular dysfunction	amyloid precursor protein catabolic process	13	2.17248869652386e-05	0.0161687471238788
ventricular dysfunction	cellular response to epinephrine stimulus	14	3.76103278510028e-05	0.0223931892024871
acute hepatic failure	membrane protein ectodomain proteolysis	59	1.31604104020176e-07	0.000391785417668065
acute hepatic failure	protein processing	79	5.19995136285087e-06	0.00704001051855191
acute hepatic failure	phospholipase C-activating G protein-coupled receptor signaling pathway	65	7.3340767893582e-06	0.00704001051855191
acute hepatic failure	G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger	66	9.45920123419806e-06	0.00704001051855191
acute hepatic failure	glucose import across plasma membrane	10	4.11954927667722e-05	0.0245277963933362
acute hepatic failure	amyloid-beta formation	11	8.62858022869791e-05	0.0366961190583338
acute hepatic failure	Notch receptor processing, ligand-dependent	13	8.62858022869791e-05	0.0366961190583338
hepatosplenomegaly	positive regulation of cardiac muscle hypertrophy	25	9.55460946632113e-07	0.0028444072381238
hepatosplenomegaly	regulation of synaptic vesicle exocytosis	57	1.61210194615536e-05	0.0239961374685225
colitis	sensory perception of pain	57	6.89252467528131e-07	0.00205190459583125
colitis	response to amphetamine	35	1.11659236907968e-05	0.016620477413751
colitis	cellular response to amyloid-beta	45	2.16634726690553e-05	0.0214973860452592
