Entry	Entry name	Status	Gene names
Q6ZS62	COLC1_HUMAN	reviewed	COLCA1 C11orf92
P14384	CBPM_HUMAN	reviewed	CPM
P40259	CD79B_HUMAN	reviewed	CD79B B29 IGB
P15169	CBPN_HUMAN	reviewed	CPN1 ACBP
P23508	CRCM_HUMAN	reviewed	MCC
Q6ZV80	CB091_HUMAN	reviewed	C2orf91
Q9NX46	ARHL2_HUMAN	reviewed	ADPRHL2 ARH3
P41240	CSK_HUMAN	reviewed	CSK
P35858	ALS_HUMAN	reviewed	IGFALS ALS
Q5SW96	ARH_HUMAN	reviewed	LDLRAP1 ARH
Q7Z6I8	CE024_HUMAN	reviewed	C5orf24
Q9BS16	CENPK_HUMAN	reviewed	CENPK ICEN37 FKSG14
Q9BV29	CCD32_HUMAN	reviewed	CCDC32 C15orf57
Q4G0S7	CC152_HUMAN	reviewed	CCDC152 Chr5_400
P30443	1A01_HUMAN	reviewed	HLA-A HLAA
Q9P1Z9	CC180_HUMAN	reviewed	CCDC180 C9orf174 KIAA1529
P08861	CEL3B_HUMAN	reviewed	CELA3B ELA3B
Q96M95	CCD42_HUMAN	reviewed	CCDC42 CCDC42A
P15289	ARSA_HUMAN	reviewed	ARSA
Q5TBE3	CI153_HUMAN	reviewed	C9orf153
Q9NRK6	ABCBA_HUMAN	reviewed	ABCB10
Q12887	COX10_HUMAN	reviewed	COX10
Q9Y615	ACL7A_HUMAN	reviewed	ACTL7A
Q9UBX8	B4GT6_HUMAN	reviewed	B4GALT6
Q8TD86	CALL6_HUMAN	reviewed	CALML6 CAGLP CALGP
Q9NYQ6	CELR1_HUMAN	reviewed	CELSR1 CDHF9 FMI2
P02649	APOE_HUMAN	reviewed	APOE
Q6PH81	CP087_HUMAN	reviewed	C16orf87
Q96CM8	ACSF2_HUMAN	reviewed	ACSF2 UNQ493/PRO1009
P84085	ARF5_HUMAN	reviewed	ARF5
Q6JBY9	CPZIP_HUMAN	reviewed	RCSD1 CAPZIP
Q07973	CP24A_HUMAN	reviewed	CYP24A1 CYP24
Q504U0	CD046_HUMAN	reviewed	C4orf46 RCDG1
Q9P291	ARMX1_HUMAN	reviewed	ARMCX1 ALEX1 AD032
Q8N283	ANR35_HUMAN	reviewed	ANKRD35
Q92481	AP2B_HUMAN	reviewed	TFAP2B
Q96MT8	CEP63_HUMAN	reviewed	CEP63
Q7L5N1	CSN6_HUMAN	reviewed	COPS6 CSN6 HVIP
Q99440	CD006_HUMAN	reviewed	LINC01587 AC1 C4orf6
Q6UWU4	CF089_HUMAN	reviewed	C6orf89 BRAP UNQ177/PRO203
A6NNH2	F90AR_HUMAN	reviewed	FAM90A27P
Q13685	AAMP_HUMAN	reviewed	AAMP
Q8N4F0	BPIB2_HUMAN	reviewed	BPIFB2 BPIL1 C20orf184 LPLUNC2 UNQ2489/PRO5776
P54802	ANAG_HUMAN	reviewed	NAGLU UFHSD1
O00189	AP4M1_HUMAN	reviewed	AP4M1 MUARP2
Q96SW2	CRBN_HUMAN	reviewed	CRBN AD-006
O75718	CRTAP_HUMAN	reviewed	CRTAP CASP
P68106	FKB1B_HUMAN	reviewed	FKBP1B FKBP12.6 FKBP1L FKBP9 OTK4
O75129	ASTN2_HUMAN	reviewed	ASTN2 KIAA0634
Q8N319	CF223_HUMAN	reviewed	C6orf223
Q9UHK6	AMACR_HUMAN	reviewed	AMACR
Q9H8M5	CNNM2_HUMAN	reviewed	CNNM2 ACDP2
O15072	ATS3_HUMAN	reviewed	ADAMTS3 KIAA0366
P98194	AT2C1_HUMAN	reviewed	ATP2C1 KIAA1347 PMR1L HUSSY-28
Q3C1V1	CK091_HUMAN	reviewed	C11orf91
P0DKL9	A14EL_HUMAN	reviewed	ARL14EPL
Q9H4R4	CT191_HUMAN	reviewed	NCOR1P1 C20orf191
L0R819	ASURF_HUMAN	reviewed	ASDURF
P35555	FBN1_HUMAN	reviewed	FBN1 FBN
Q92484	ASM3A_HUMAN	reviewed	SMPDL3A ASML3A
Q8TCG5	CPT1C_HUMAN	reviewed	CPT1C CATL1
A6NM45	CLD24_HUMAN	reviewed	CLDN24 CLDN21
Q8N5K1	CISD2_HUMAN	reviewed	CISD2 CDGSH2 ERIS ZCD2
Q9BYF1	ACE2_HUMAN	reviewed	ACE2 UNQ868/PRO1885
Q15822	ACHA2_HUMAN	reviewed	CHRNA2
Q9H4D0	CSTN2_HUMAN	reviewed	CLSTN2 CS2
